cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
8,1,1,2,2
8,1,3,2,2
8,1,5,1,1
8,1,6,5,5
8,1,12,3,3
8,1,14,1,1
8,1,21,15,15
8,1,23,2,2
8,1,25,1,1
8,1,27,1,1
8,1,28,2,2
8,1,30,3,3
8,1,36,2,2
8,1,38,4,4
8,1,40,1,1
8,1,41,19,19
8,1,42,4,4
8,1,46,10,10
8,1,51,3,3
8,1,56,3,3
8,1,60,1,1
8,1,63,6,6
8,1,67,2,2
8,1,70,30,30
8,1,75,4,4
8,1,78,9,9
8,1,79,7,7
8,1,87,1,1
8,1,108,7,7
8,1,109,2,2
8,1,110,2,2
8,1,111,2,2
8,1,112,5,5
8,1,120,2,2
8,1,121,2,2
8,1,122,2,2
8,1,123,3,3
8,1,124,6,6
8,1,125,1,1
8,1,129,5,5
8,1,130,2,2
8,1,132,2,2
8,1,134,1,1
8,1,140,5,5
8,1,141,10,10
8,1,143,4,4
8,1,148,1,1
8,1,151,1,1
8,1,152,7,7
8,1,154,7,7
8,1,155,2,2
8,1,161,1,1
8,1,162,9,9
8,1,164,1,1
8,1,165,3,3
8,1,166,1,1
8,1,168,8,8
8,1,180,1,1
8,1,182,1,1
8,1,188,9,9
8,1,193,8,8
8,1,194,8,8
8,1,195,2,2
8,1,197,13,13
8,1,198,2,2
8,1,216,1,1
8,1,217,1,1
8,1,236,1,1
8,1,238,1,1
8,1,239,4,4
8,1,240,3,3
8,1,241,2,2
8,1,242,1,1
8,1,246,1,1
8,1,247,5,5
8,1,248,1,1
8,1,249,1,1
8,1,250,3,3
8,1,251,4,4
8,1,252,2,2
8,1,257,1,1
8,1,258,16,16
8,1,259,15,15
8,1,260,14,14
8,1,261,24,24
8,1,262,12,12
8,1,263,1,1
8,1,268,1,1
8,1,269,1,1
8,1,270,1,1
8,2,1,2,2
8,2,3,1,1
8,2,12,1,1
8,2,20,2,2
8,2,25,1,1
8,2,26,12,12
8,2,27,3,3
8,2,28,1,1
8,2,30,4,4
8,2,38,5,5
8,2,41,3,3
8,2,42,6,6
8,2,46,1,1
8,2,50,4,4
8,2,56,6,6
8,2,59,7,7
8,2,60,1,1
8,2,67,2,2
8,2,70,2,2
8,2,71,3,3
8,2,75,1,1
8,2,76,10,10
8,2,78,1,1
8,2,79,1,1
8,2,87,5,5
8,2,105,1,1
8,2,108,1,1
8,2,110,4,4
8,2,111,1,1
8,2,114,1,1
8,2,120,2,2
8,2,122,2,2
8,2,123,1,1
8,2,124,1,1
8,2,125,1,1
8,2,130,2,2
8,2,132,3,3
8,2,134,1,1
8,2,135,11,11
8,2,136,4,4
8,2,140,2,2
8,2,141,1,1
8,2,143,20,20
8,2,148,1,1
8,2,154,3,3
8,2,155,2,2
8,2,161,1,1
8,2,164,1,1
8,2,174,6,6
8,2,175,2,2
8,2,178,4,4
8,2,180,1,1
8,2,182,7,7
8,2,188,8,8
8,2,194,1,1
8,2,195,2,2
8,2,198,2,2
8,2,213,1,1
8,2,214,1,1
8,2,215,1,1
8,2,217,1,1
8,2,224,7,7
8,2,225,3,3
8,2,226,12,12
8,2,227,6,6
8,2,228,13,13
8,2,229,3,3
8,2,230,2,2
8,2,236,4,4
8,2,237,10,10
8,2,238,14,14
8,2,239,23,23
8,2,240,6,6
8,2,241,31,31
8,2,242,2,2
8,2,249,1,1
8,2,250,1,1
8,2,251,1,1
8,2,252,2,2
8,2,258,1,1
8,2,259,1,1
