cycle,flow_id,node,planned_inbound_by_subflow,planned_inbound_by_mainflow
26,1,1,3,3
26,1,3,11,11
26,1,6,11,11
26,1,12,3,3
26,1,14,1,1
26,1,18,1,1
26,1,20,1,1
26,1,21,6,6
26,1,23,2,2
26,1,24,1,1
26,1,26,1,1
26,1,27,3,3
26,1,28,1,1
26,1,30,7,7
26,1,34,9,9
26,1,36,4,4
26,1,38,2,2
26,1,40,3,3
26,1,41,7,7
26,1,42,2,2
26,1,46,4,4
26,1,50,1,1
26,1,51,6,6
26,1,56,1,1
26,1,59,1,1
26,1,60,1,1
26,1,63,9,9
26,1,64,2,2
26,1,67,3,3
26,1,70,30,30
26,1,71,1,1
26,1,75,5,5
26,1,76,1,1
26,1,77,2,2
26,1,78,3,3
26,1,79,4,4
26,1,84,1,1
26,1,108,1,1
26,1,109,5,5
26,1,110,2,2
26,1,111,2,2
26,1,112,4,4
26,1,118,2,2
26,1,120,1,1
26,1,122,2,2
26,1,123,4,4
26,1,124,3,3
26,1,125,1,1
26,1,129,4,4
26,1,130,1,1
26,1,132,2,2
26,1,134,7,7
26,1,135,1,1
26,1,136,1,1
26,1,141,4,4
26,1,143,3,3
26,1,151,1,1
26,1,152,4,4
26,1,154,2,2
26,1,159,7,7
26,1,161,5,5
26,1,164,1,1
26,1,165,8,8
26,1,166,1,1
26,1,175,1,1
26,1,180,5,5
26,1,182,1,1
26,1,183,9,9
26,1,188,2,2
26,1,189,3,3
26,1,193,8,8
26,1,194,7,7
26,1,196,6,6
26,1,197,10,10
26,1,198,3,3
26,1,214,1,1
26,1,217,1,1
26,1,225,1,1
26,1,227,1,1
26,1,228,1,1
26,1,237,1,1
26,1,238,1,1
26,1,239,2,2
26,1,240,2,2
26,1,247,1,1
26,1,248,4,4
26,1,249,7,7
26,1,250,14,14
26,1,251,3,3
26,1,257,2,2
26,1,258,12,12
26,1,259,11,11
26,1,260,9,9
26,1,261,11,11
26,1,262,1,1
26,1,270,1,1
26,2,2,4,4
26,2,4,6,6
26,2,8,9,9
26,2,9,1,1
26,2,13,1,1
26,2,19,4,4
26,2,31,4,4
26,2,39,4,4
26,2,45,15,15
26,2,49,2,2
26,2,52,4,4
26,2,54,3,3
26,2,57,2,2
26,2,62,1,1
26,2,65,3,3
26,2,66,10,10
26,2,73,5,5
26,2,83,1,1
26,2,86,1,1
26,2,90,3,3
26,2,91,4,4
26,2,92,11,11
26,2,94,5,5
26,2,100,2,2
26,2,101,5,5
26,2,103,3,3
26,2,106,1,1
26,2,113,2,2
26,2,121,6,6
26,2,126,1,1
26,2,127,3,3
26,2,133,5,5
26,2,137,1,1
26,2,139,3,3
26,2,144,1,1
26,2,147,1,1
26,2,150,2,2
26,2,158,3,3
26,2,160,5,5
26,2,168,3,3
26,2,171,7,7
26,2,172,1,1
26,2,176,10,10
26,2,177,1,1
26,2,179,4,4
26,2,184,30,30
26,2,186,4,4
26,2,190,1,1
26,2,199,3,3
26,2,262,1,1
26,2,272,3,3
26,2,273,8,8
26,2,283,3,3
26,2,284,12,12
26,2,285,2,2
26,2,286,8,8
26,2,294,1,1
26,2,295,4,4
26,2,296,3,3
26,2,297,1,1
26,2,306,1,1
26,2,307,1,1
